jd filt fluxerr adjflux
2458206 zg 5.3072547104723835 3.898049937672816
2458206 zg 5.528641126854202 0.10218464648333736
2458209 zg 11.240446569375532 10.038497605864968
2458233 zg 5.245000294142975 1.623241779873581
2458236 zg 10.336059610805023 20.55133396501205
2458236 zg 9.07524541694915 -2.6656322983189753
2458244 zg 4.327486257946126 -1.038035676726821
2458247 zg 2.049524807161427 1.2455857080587762
2458261 zg 4.905020618636779 3.316715780506385
2458269 zg 9.398997463075368 12.068206224061996
2458272 zg 4.802467350899385 0.36800785664296143
2458275 zg 1.8377891735599696 1.1092021030588555
2458278 zg 2.0586225781823955 -2.4817864901978695
2458281 zg 2.301573184975168 -1.6102772520622395
2458284 zg 2.3289506051724054 -0.22735180741043592
2458287 zg 2.474862184010457 3.1009146418135742
2458290 zg 4.171412853278938 1.9003139449603097
2458296 zg 8.45770419439982 -2.3278036531358097
2458300 zg 3.0255224524308875 2.354933251828527
2458303 zg 2.1498852771852213 0.06909425202214692
2458306 zg 2.6109145238194524 0.973320029406203
2458316 zg 5.088397321559264 4.191945411939145
2458331 zg 5.871077136569205 -8.600601497372665
2458334 zg 2.944565243639314 0.9055664902228173
2458337 zg 2.465951899689151 -5.417106288004021
2458345 zg 3.035101099067189 -1.5155612579589217
2458494 zg 3.201000239406572 -3.3610374206818463
2458560 zg 4.464584172962411 -0.7160003883200403
2458568 zg 5.258597506818659 3.5337127816097933
2458577 zg 5.31885805109764 -1.2617020630640639
2458581 zg 3.023445195018399 -3.658822863815395
2458584 zg 2.653158480276051 2.5666005332642357
2458587 zg 8.32179366542223 19.931485706367695
2458591 zg 18.82996660604951 -17.373530951665984
2458598 zg 7.540816975670177 13.184173684803241
2458606 zg 1.9741347104642075 1.761522669810823
2458617 zg 3.766187424811349 5.049058023532027
2458636 zg 2.0591211665928792 -0.9095773780413197
2458639 zg 2.354783693211385 1.2114426871285247
2458642 zg 2.023217060097202 -0.9738656845999998
2458646 zg 4.985259740145969 10.420394109030283
2458651 zg 13.010230406634742 -10.928789715213941
2458654 zg 5.343856467096331 3.898049937672816
2458657 zg 2.6693827007650657 6.779454121773057
2458660 zg 7.149373102452546 -8.70077714663432
2458665 zg 2.312122508850807 1.075184638241467
2458672 zg 2.8954819013529622 1.143250913552265
2458675 zg 7.23549024055415 -8.373852340036176
2458682 zg 4.4239145248456975 0.0030048251008736315
2458685 zg 2.301231327800802 -0.6512366385665302
2458692 zg 2.8522832668590663 4.376732795835693
2458705 zg 8.161787624222134 -8.575499866185538
2458708 zg 6.307398564830286 -6.946566185529324
2458715 zg 3.553409681278293 -6.164375145908885
2458718 zg 2.7664894618372373 2.1794351930354807
2458723 zg 3.640004570312359 3.679045088039217
2458728 zg 3.8346738059879852 2.354933251828527
2458729 zg 5.753802623519442 -0.9417363342492493
2458734 zg 7.459015890776349 2.1794351930354807
2458761 zg 9.23969956269538 7.213460859256841
2458893 zg 5.744311285755834 7.772230720620854
2458901 zg 8.211324029750056 -2.4510466260182753
2458913 zg 2.099728738357208 -5.445115567952236
2458915 zg 5.223420148224059 -4.1588059197097635
2458944 zg 4.869379884578978 -7.264169762863677
2458954 zg 2.8263432720558583 -8.196187814209754
2458963 zg 2.350500119800289 0.10218464648333794
2458963 zg 2.5236808100358252 2.2144701787131713
2458972 zg 4.6243935282147905 -1.4522717111310899
2458975 zg 9.150868573306582 -3.8950843319583774
2458986 zg 2.1699137829416544 1.5542921425759755
2458995 zg 2.2694233616737365 -3.4208141273456514
2459009 zg 4.375447690301836 -1.1660215597644057
2459016 zg 2.9698054823405338 -2.939502802364175
2459019 zg 2.0699078885990008 -3.271164980306163
2459022 zg 2.1207130210165 0.1353071614966878
2459025 zg 2.128192173112591 -1.861573585969733
2459028 zg 4.064712027171168 11.107196222973684
2459033 zg 8.624960685015676 -19.0295005952053
2459036 zg 5.786329458945038 -3.1207471317935447
2459039 zg 2.1436358901682446 -2.110861859721458
2459042 zg 2.282234560166929 -0.9413756337392334
2459051 zg 4.09360231812385 -0.8422139307359852
2459064 zg 10.1862406438824 11.063959792639452
2459233 zg 3.027121011354596 39.549238671883906
2459254 zg 2.4558394356936657 39.36830886435401
2459275 zg 7.598520665132353 24.183135590647893
2459291 zg 2.4500600655742883 35.79690314068308
2459302 zg 11.273441692566667 33.927802018590526
2459307 zg 4.033616585707491 33.89576443046627
2459309 zg 2.9595489961284107 27.66443921720049
