jd filt fluxerr adjflux
2458203 zg 4.160022588071136 0.893560116282399
2458206 zg 5.665450186605213 5.227023833736453
2458206 zg 6.239201621918658 16.957311185554502
2458233 zg 5.057975619708677 5.3255847841554225
2458236 zg 12.546010593173708 -28.139760496167536
2458237 zg 11.424219195823287 7.717308503941922
2458244 zg 3.5947768256759467 0.10082179105152095
2458247 zg 2.5027407724668906 -0.8784788348442379
2458262 zg 5.099101048557582 -2.641050297543808
2458267 zg 13.392755216534054 5.8194855573935165
2458270 zg 6.34330394094176 6.154139005205506
2458273 zg 2.53398727537546 1.5234303039720467
2458279 zg 2.564370935636175 6.73695494544821
2458282 zg 2.592409790892141 0.4363656260488652
2458295 zg 7.743607312327409 7.244934447348419
2458298 zg 5.714055290240779 12.061284881090176
2458304 zg 2.422433742694698 -3.3232267835538214
2458332 zg 3.389771192044859 -3.2768364675709205
2458336 zg 3.0151134151361454 -4.9682458828299945
2458493 zg 3.152722786509556 -1.9321954591030261
2458540 zg 4.012146519344479 0.14714139256505565
2458544 zg 7.181599493718867 11.33896447628382
2458568 zg 9.74107843697598 -3.08900815175933
2458584 zg 2.9672300552548205 1.97540012063558
2458587 zg 7.568324929760387 13.45326146094094
2458591 zg 13.873733878868785 1.4614930318670991
2458597 zg 4.96171441840955 4.558496614926529
2458616 zg 4.453419623276982 0.8170721453805789
2458619 zg 11.156322024937138 6.451606421094371
2458633 zg 2.6266634426420903 2.8178207166223483
2458636 zg 2.248536422705851 -2.0734040194160914
2458639 zg 3.0280421783683726 5.226357437603692
2458642 zg 2.2506083552987968 0.2135518408997886
2458645 zg 5.014710480238573 3.812975882570924
2458650 zg 18.67625333402329 20.800556723478973
2458653 zg 7.096264302277845 5.6014315737409595
2458657 zg 2.968701527726977 -2.297797599138942
2458665 zg 2.6666742868115914 1.0678126301856703
2458674 zg 5.388819269365379 2.4189448339809916
2458683 zg 3.476277541863659 2.0359882875094395
2458686 zg 3.5052132340340565 -1.9793014228479429
2458690 zg 2.938776348608879 4.086569862515464
2458716 zg 3.7091289601459128 -1.607858571161528
